SystematicID	Gene_name	Synonyms	Names
SPAC23H4.10c	thi4		thi4
SPBC26H8.01	thi2	nmt2	thi2
SPAC1486.10	thi1	ntf1,SPAC6G10.01	thi1
SPCC63.07	thg1		thg1
SPBC839.16	thf1		thf1
SPAC2G11.15c	tgs1	SPAC521.01c,tgs2	tgs1
SPBC1271.09	tgp1		tgp1
SPBPB2B2.11	tgd1		tgd1
SPCC736.09c	tfx1		tfx1
SPAC20H4.03c	tfs1		tfs1
SPAC22H12.02	tfg3	taf14	tfg3
SPBC1198.13c	tfg2	SPBC660.03c	tfg2
SPCC1620.09c	tfg1		tfg1
SPCC1494.09c	tfb6		tfb6
SPNCRNA.1552	tfb5-antisense-1		tfb5-antisense-1
SPBC32F12.15	tfb5		tfb5
SPBC30B4.07c	tfb4		tfb4
SPBC13G1.13	tfb2	SPBC31F10.01	tfb2
SPAC16E8.11c	tfb1		tfb1
SPCC1672.08c	tfa2		tfa2
SPAC458.07	tfa1	SPAPYUG7.01	tfa1
SPBC9B6.02c	Tf2-9	SPBC9B6.02	Tf2-9
SPAC19D5.09c	Tf2-8	SPAC13D1.02c	Tf2-8
SPAC13D1.01c	Tf2-7		Tf2-7
SPAC27E2.08	Tf2-6		Tf2-6
SPAPB15E9.03c	Tf2-5		Tf2-5
SPAC26A3.13c	Tf2-4		Tf2-4
SPAC2E1P3.03c	Tf2-3		Tf2-3
SPAC167.08	Tf2-2	SPAC1705.01c	Tf2-2
SPCC1494.11c	Tf2-13		Tf2-13
SPCC1020.14	Tf2-12		Tf2-12
SPBC1289.17	Tf2-11	SPBC8E4.11c	Tf2-11
SPBC1E8.04	Tf2-10		Tf2-10
SPAC9.04	Tf2-1		Tf2-1
SPCC18B5.10c	tex1		tex1
SPNCRNA.214	ter1	SPNG585,SPNCRNA.884	ter1
SPCC1393.14	ten1		ten1
SPAC458.03	tel2		tel2
SPCC23B6.03c	tel1		tel1
SPCC1450.04	tef5	efb1	tef5
SPCC417.08	tef3		tef3
SPNCRNA.1376	tef103-antisense-1		tef103-antisense-1
SPBC839.15c	tef103	ef1a-c,efa13,EF-1aC	tef103
SPNCRNA.957	tef102-antisense-1		tef102-antisense-1
SPAC23A1.10	tef102	ef1a-b,efa1,EF-1aC	tef102
SPCC794.09c	tef101	ef1a-a,efa11,EF-1aA	tef101
SPAC23A1.02c	ted1		ted1
SPAC13G7.10	teb1	mug152,tay1,spX	teb1
SPAC12B10.14c	tea5	ppk2	tea5
SPBC1706.01	tea4	wsh3	tea4
SPAC6G10.02c	tea3		tea3
SPBC1604.20c	tea2	klp4	tea2
SPCC1223.06	tea1	alp8	tea1
SPNCRNA.580	tdp1-antisense-1	SPNG2AF57	tdp1-antisense-1
SPCP31B10.05	tdp1		tdp1
SPBC32F12.11	tdh1	gpd1	tdh1
SPAC6G10.06	tda3		tda3
SPBC1677.03c	tda1		tda1
SPCC162.12	tco89	SPCC1753.06c	tco89
SPAC17G6.02c	tco1		tco1
SPBC660.11	tcg1	mug187	tcg1
SPAC1A6.10	tcd1	SPAC30D11.15c	tcd1
SPAPYUK71.03c	tcb3	syn1	tcb3
SPCP31B10.06	tcb2	mug190	tcb2
SPCC962.01	tcb1	SPCP31B10.09	tcb1
SPAC15A10.12c	tca17		tca17
SPAC29E6.08	tbp1	tdf1,tbp,SPAC30.12	tbp1
SPBC19G7.13	tbf1	trf1	tbf1
SPAC1952.17c	tbc13	SPAC890.01c	tbc13
SPAC328.08c	tbc1		tbc1
SPAC16A10.07c	taz1	myb1,myb,lot3	taz1
SPBC83.03c	tas3		tas3
SPCC63.05	tap42		tap42
SPBC25H2.10c	tan1		tan1
SPBC1711.18	tam9		tam9
SPBC3H7.18	tam8		tam8
SPAC1F7.14c	tam6		tam6
SPAC16E8.18c	tam5	SPNG664,SPNGAF2	tam5
SPBC1A4.06c	tam41		tam41
SPCC330.20	tam14		tam14
SPBC56F2.15	tam13		tam13
SPBC1105.19	tam12		tam12
SPBC17D1.17	tam11	SPNGAF32	tam11
SPBC14C8.19	tam10		tam10
SPCC1020.06c	tal1		tal1
SPAC1296.06	tah18		tah18
SPAC12G12.05c	taf9		taf9
SPCC1259.06	taf8		taf8
SPNCRNA.1577	taf73-antisense-1		taf73-antisense-1
SPBC15D4.14	taf73	taf5l,taf5	taf73
SPAC13F5.02c	taf7	ptr6	taf7
SPCC16C4.18c	taf6	taf50	taf6
SPCC5E4.03c	taf5	taf72	taf5
SPAC23G3.09	taf4		taf4
SPAC823.06	taf3		taf3
SPAC3A12.05c	taf2		taf2
SPCC1494.02c	taf13		taf13
SPAC15A10.02	taf12		taf12
SPAC2G11.14	taf111	taf1,taf130,kat4	taf111
SPAC1002.04c	taf11		taf11
SPBC21H7.02	taf10		taf10
SPAC16E8.14c	tae1		tae1
